site,species,stand,stand_old,plot,treatment,tree,dbh_in,ht,hcb,velocity,tree_ba,cr,ba_plot,ba_all,ba_plot_PP,ba
FT,PIPO,7,9,3,120,2,22.3,NA,NA,3.507,2.71221966,NA,128.4324282,130.2011604,128.4324282,125.5470804
FT,PIPO,7,9,3,120,1,13.3,52.3,19.8,3.681,0.96475806,0.621414914,128.4324282,130.2011604,128.4324282,125.5470804
FT,PIPO,7,9,3,120,5,14.1,72.9,38.7,3.694,1.08430974,0.469135802,128.4324282,130.2011604,128.4324282,125.5470804
FT,PIPO,7,9,3,120,7,10.9,NA,NA,3.737,0.64798974,NA,128.4324282,130.2011604,128.4324282,125.5470804
FT,PIPO,7,9,3,120,3,23,84,46,3.84,2.885166,0.452380952,128.4324282,130.2011604,128.4324282,125.5470804
FT,PIPO,7,9,3,120,4,19.2,81.1,33,3.938,2.01056256,0.593094945,128.4324282,130.2011604,128.4324282,125.5470804
FT,PIPO,7,9,3,120,6,16.3,71.4,38.5,4.019,1.44907326,0.460784314,128.4324282,130.2011604,128.4324282,125.5470804
FT,PIPO,8,11,1,60,3,20.2,63.4,22.6,3.271,2.22545016,0.643533123,48.0982806,75.1344858,41.736735,65.9499498
FT,PIPO,8,11,1,60,1,18.9,61.7,27.2,3.884,1.94822334,0.559157212,48.0982806,75.1344858,41.736735,65.9499498
FT,PIPO,8,11,2,60,7,21.2,65,26.5,3.609,2.45124576,0.592307692,82.57356,75.1344858,63.8303436,65.9499498
FT,PIPO,8,11,2,60,2,20.7,69.5,27.1,3.622,2.33698446,0.610071942,82.57356,75.1344858,63.8303436,65.9499498
FT,PIPO,8,11,2,60,1,17.1,64.1,30.7,3.999,1.59480414,0.521060842,82.57356,75.1344858,63.8303436,65.9499498
FT,PIPO,8,11,3,60,5,12,56.7,23.3,3.485,0.785376,0.589065256,94.7316168,75.1344858,92.2827708,65.9499498
