"density"	"ring"	"newring"	"mm"	"cutoff"	"newEorL"	"boundary1"	"boundary2"
469.7	2	2	3.86999999999999	486.42	"EW"	3.91	"4.15"
470.34	2	2	3.88	486.42	"EW"	3.91	"4.15"
449.09	2	2	3.89	486.42	"EW"	3.91	"4.15"
474.35	2	2	3.89999999999999	486.42	"EW"	3.91	"4.15"
488.01	2	2	3.91000000000001	486.42	"LW"	3.91	"4.15"
497.43	2	2	3.92	486.42	"LW"	3.91	"4.15"
468.97	2	2	3.92999999999999	486.42	"LW"	3.91	"4.15"
480.75	2	2	3.94000000000001	486.42	"LW"	3.91	"4.15"
499.28	2	2	3.95	486.42	"LW"	3.91	"4.15"
486.26	2	2	3.95999999999999	486.42	"LW"	3.91	"4.15"
488.19	2	2	3.96999999999998	486.42	"LW"	3.91	"4.15"
513.15	2	2	3.98	486.42	"LW"	3.91	"4.15"
487.09	2	2	3.98999999999999	486.42	"LW"	3.91	"4.15"
483.69	2	2	3.99999999999998	486.42	"LW"	3.91	"4.15"
500.3	2	2	4.01	486.42	"LW"	3.91	"4.15"
497.89	2	2	4.01999999999999	486.42	"LW"	3.91	"4.15"
500.48	2	2	4.02999999999998	486.42	"LW"	3.91	"4.15"
502.06	2	2	4.04	486.42	"LW"	3.91	"4.15"
